Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
14.3515625,57.0,-1.848801470163309,-1.4137741037076381,-3.6618542712190987,-1.3700266242998822,-0.4327914194072946,-11.29101596149556,-7.721091260911322,-1.4993593425170246,1.1641446526428751,-1.8119197889456586,-1.4610369764704245,-5.112872338689172,-3.8783966492634647,-5.53411106000317,33025,9.0
14.359375,57.0,-0.9694891995735304,-1.8320448942709646,-2.7057124715609433,-2.8360126376839503,-1.0555190489498045,-7.135140395506397,-7.415953360738669,-7.495710978004155,-7.93265815051501,-7.930873430171772,-6.457644391174341,-21.5778952944696,-8.70018887550475,-5.0734688204418035,33025,9.0
14.3671875,57.0,-3.9256795233683732,-9.454904788253458,-7.518591751513355,-8.7317543684605,-8.869419363811346,-0.9780037847525591,-5.311125539134267,-13.762015111902855,-15.885386026662061,-14.403182510222635,-12.962997691038083,-27.95980580958191,-11.591175516255575,-8.234765750486503,33025,10.0
14.375,57.0,-5.987791194682231,-14.654654865119312,-11.469021680689863,-12.930231657778108,-13.853085519484793,1.4379953116989839,-1.313047507372886,-8.870067422158613,-10.586170200157326,-11.25995157492656,-12.28098347577945,-14.107038392000746,-8.817551304469333,-6.2426376492784215,33025,10.0
14.3828125,57.0,-4.588193020552481,-8.932129284800425,-6.616221766604085,-8.28868033504206,-6.56845992150339,0.8580503950573473,2.9195787817153587,3.050178308950919,2.7755008402450443,0.2559996321929674,-1.9453105158259518,12.22131127904133,-1.467209402518364,2.845545292536073,33025,10.0
14.390625,57.0,-2.0412391596033075,2.5573916235832144,2.9428205871788435,0.9111060986297446,5.706262470245875,2.3565548100433347,5.118974814283547,8.427725373704249,10.414509890393845,8.42567475011289,7.527054936656526,26.607719371956932,4.834503521640357,7.851817165271598,33025,10.0
14.3984375,57.0,0.3606586995061889,9.274624450777836,8.31936674241635,6.06711977830129,9.0695154436671,4.355169874180078,3.55448015431557,4.134897534013959,8.21402891998062,8.205308096405332,7.140172109944004,18.882365311708725,6.389452300970021,2.91670905041272,33025,11.0
14.40625,57.0,3.152769955539611,8.786639775253235,7.971504635145195,6.0426110552934915,3.833230067648117,0.8825595231811008,-1.7242148999095832,-1.007424093658983,2.278056303828336,5.613446402083582,2.313586238549348,7.598248074770609,6.167484105905004,-2.28699217197844,33025,11.0
14.4140625,57.0,5.815877686340656,6.993769970607431,6.403834108441956,4.999606617301595,0.5599512377747118,-4.939160972632848,-6.108675739370369,-0.16535391018170742,-1.2018850396668768,5.171964224396504,2.395558587948287,8.57104555984678,7.893257817412206,1.566238791732161,33025,11.0
14.421875,57.0,6.872945164267506,6.880042239500895,5.1504685951694,4.946117723134179,1.136057614221869,-4.14710870297894,-3.9355835013994067,4.753747307044421,-1.2440521275700576,3.454277138611431,4.036535261798406,10.087858010991951,8.045176945169786,8.551469464257508,33025,11.0
14.4296875,57.0,5.031718391027482,3.68748304198553,0.987129289942942,3.862880720452594,-0.7252126877392158,1.58736429718698,2.4691693126447802,7.141462784353465,-0.9212087440967025,-2.564369159340103,-1.8533108911836678,-3.1984423773352972,1.3753942135570867,6.786355726196874,33025,12.0
14.4375,57.0,0.7492776623355724,-4.799573275028706,-5.243280176296423,-0.4874649450869697,-5.196831587359284,2.4443198467645146,4.875576865702996,2.8636042525866543,-2.2644084733163368,-8.099828592557216,-9.318597322230247,-21.58372900072611,-7.664269993200421,-3.0594475570095625,33025,12.0
14.4453125,57.0,-2.8297860815589218,-11.008682511032816,-6.080335175000982,-5.749328180221298,-5.987452180385603,-1.9801848331237863,1.2590306490219803,-5.184735263868589,-3.5099463243832076,-6.974553916402684,-3.7764239912594775,-25.033195984474588,-9.440186937508301,-8.825597626178109,33025,12.0
14.453125,57.0,-3.489990316215966,-8.752062821214054,-0.8866607836570495,-7.26114937527835,-1.624188036461078,-3.1577793984591978,-3.045355989319617,-10.83649159631237,-3.6505262315510407,-1.8930117650511988,9.163738704167528,-14.164831967078001,-4.6514822316555495,-6.711221440887826,33025,12.0
14.4609375,57.0,-3.4667455511430774,-3.7092047294275687,-0.3528765191106089,-5.329015964408569,2.6609811274555994,0.7599223657967258,-4.15236079378964,-11.417475677203953,-4.327092171843972,-0.5728098790908405,8.609346151212947,-6.701147914310127,-3.307212038156351,-6.091567569830403,33025,13.0
14.46875,57.0,-5.692905335538811,-2.780691468087909,-7.53065933633853,-3.727078458592146,3.776459528382091,3.5022926145983746,-1.633247056117213,-7.105027602321357,-4.069110242549044,-2.6508682224389872,-4.577179703075714,-7.4075900898509275,-6.783464457855445,-9.361880782101196,33025,13.0
14.4765625,57.0,-7.662440569082506,-1.3343914868094373,-9.285759903524237,-1.3349266180349701,3.8059823559149635,2.189773549752843,3.3954789230918863,1.5418444911322098,0.9971973877231335,-0.1715782078772463,-6.851900818052599,-1.5100789646066346,-4.384652958436902,-4.785945018163872,33025,13.0
14.484375,57.0,-3.6851580266645527,6.878886780065486,2.053654378130929,5.190139819797139,3.7893705364413393,0.06868535709674006,7.514958924949738,11.267813830072555,9.157906690675858,8.219411201319204,8.275316248931233,17.9914384518152,7.85407681229016,11.336511238402565,33025,13.0
14.4921875,57.0,5.163716519392622,14.22569337097157,13.616821190029768,10.72099913454717,1.891900630021098,-0.03770112057566166,7.548346031880158,16.39387807364909,14.115499314771526,13.723357724888714,18.795948776433008,33.42648244029314,18.050660340209916,22.942247432648543,33025,14.0
14.5,58.0,9.665710407843392,8.659306578490416,10.60674831791168,6.699989765748356,-1.5452943944364819,1.3995761455145583,3.979158282760679,13.51495790327131,12.521224471036788,9.6582848722921,8.439625946893358,24.944422270809213,14.949325100028105,15.946487262423034,33025,14.0
14.5078125,58.0,5.764073296762518,-4.352188299790427,-1.282883514890358,-2.5273746455445405,-3.2945064754477187,2.697403613635288,-0.9993354880659382,4.3306504822082985,5.479872426138513,-0.24741551868318368,-9.884214445422998,0.3908213653047454,3.3014956539497433,-1.128181434764329,33025,14.0
14.515625,58.0,1.0632950346856802,-7.023252569458819,-5.203046225010752,-4.147622149886317,-1.7888004143592582,2.444541973747903,-5.460533189412189,-4.834322260655554,-3.093176622062188,-7.085984000441229,-15.467672709042745,-14.353170966317265,-4.496841548664705,-9.55272643420686,33025,14.0
14.5234375,58.0,1.4616889819412506,2.3017852833135066,0.9750876844832277,1.935155575577582,0.8823671681939658,0.034309737169834875,-7.61400494464425,-8.36221301923483,-8.411584436733605,-6.911730762013505,-9.335701749392598,-11.470840513339269,-5.451040223976165,-5.855810755262993,33025,15.0
14.53125,58.0,1.5991113480412196,5.836173464781481,3.3592166377155763,3.130970591103676,1.305424580132609,-3.282293394080412,-6.982311698705487,-8.0807797280617,-9.666334555235977,-4.444510471335292,-6.5899642595389025,-6.922163207816723,-6.687867853073129,-2.7611272712772035,33025,15.0
14.5390625,58.0,-3.136876796177546,-3.9094664900492404,-3.5537882383249837,-4.580834663683447,-1.2579255507372409,-4.830349279596902,-4.551096578379969,-9.29980786360349,-10.446266468715152,-5.62668165968158,-9.83762897859934,-10.32466375328579,-11.349356918641462,-7.360190205845271,33025,15.0
14.546875,58.0,-6.647689280681902,-12.32838499601769,-8.274734121487313,-10.529598824789701,-3.5107512993074295,-3.443036636165175,-1.19507794010093,-10.512898283202958,-11.33418408174066,-8.369229753149384,-8.689737618775922,-12.195312793626243,-12.78805952614563,-11.226788262929958,33025,15.0
14.5546875,58.0,-3.2077165483076016,-7.9403914293288835,-2.8960451307681723,-5.926881566858668,-1.9446547336725502,-0.4412889838737186,2.8383230253386245,-5.013787334656513,-7.090065178809169,-5.3167234185749095,0.9252547564233566,-3.92830518780805,-5.456181533976647,-4.655377717294968,33025,16.0
14.5625,58.0,2.16272376802344,0.6642088393459744,3.993204577088221,3.6081599026711046,2.6343386105090474,2.679884031863878,7.029870084605065,7.348875543135264,4.732559209251704,4.4411517343786215,11.617425183373157,7.9736096717925875,5.733817257243118,8.050303954032003,33025,16.0
14.5703125,58.0,2.182855105134692,1.9715956707030813,1.8881455350931589,6.205332748298005,4.867009282427659,4.113434661914596,8.581052841565622,15.816839302023993,14.84300231871137,11.006256211939785,14.0035858218193,10.682179954430836,10.317162413160816,12.360739296642038,33025,16.0
14.578125,58.0,-1.9184519334817907,-1.0874391509017869,-6.33743076048502,0.2685388864720295,0.04063360372788338,0.6892966527171893,3.7002988301042308,9.4268380889458,9.93464625407023,5.1783309732811915,5.237923972985087,0.4697974921404864,3.4909132906785914,1.5175062129078327,33025,16.0
14.5859375,58.0,-3.936495304936173,0.22696134791412703,-9.79150711800277,-3.8471013483657543,-7.864120538437334,-6.691396309849935,-5.510306514183185,-6.871702367424987,-6.227745983418643,-6.5058098715922625,-6.261922657884256,-10.801203939494044,-6.947701017113232,-12.78552981797553,33025,17.0
14.59375,58.0,-1.6612630404707147,6.478789692499376,-3.423962617407227,0.845816674132891,-7.750096164491367,-9.379611474329067,-10.208463926752245,-13.941622488260009,-12.173588958036191,-7.571239699919005,-6.63982765006125,-7.852789902953589,-6.666136250942046,-12.832866555068733,33025,17.0
14.6015625,58.0,2.17795768758036,11.227355450392992,7.466829407964951,8.641346395394962,2.4893404242561132,-1.8355093962853601,-6.048210737081149,-3.7845902158525746,0.36301675819822776,4.104462919531628,5.169874589389124,7.083273713456052,6.078013607360106,2.303661980970375,33025,17.0
14.609375,58.0,4.444565748307312,9.27031287092153,14.106148151832798,10.148197396389648,10.389021495327711,7.648054763478385,0.4141885142122277,7.811602744961263,12.278801933858247,11.579901378397977,12.570285641253463,16.087137425845484,14.442603362925183,14.486457174261702,33025,17.0
14.6171875,58.0,3.7065738496255136,1.5130323330852633,12.738812500344295,4.329911042413187,7.364551543811515,7.933047774122755,2.1987971589271353,5.4218721780166845,7.091792049509678,4.484257151977417,4.200281434789957,10.985991161191208,6.954992407079658,10.56239404843491,33025,18.0
14.625,58.0,0.48690528652561227,-5.710629507252591,6.038824321334388,-2.2320730438369765,-0.4274536375448008,1.6856105924446751,2.2095266430947618,-3.1189414001488274,-4.951251773106634,-6.532671534713643,-8.910561847459647,2.8198972225455208,-4.828676376845593,-0.6805407179265757,33025,18.0
