,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
91,4110.2563476563,4081.41015625,4091.9230957031,4076.6667480469,4086.41015625,4091.41015625,4070.1281738281,4125.5126953125,4135.6411132813,4128.205078125,4174.3588867188,4163.205078125,4161.1538085938,4139.615234375
92,4113.0771484375,4087.5642089844,4099.3588867188,4082.0512695313,4092.8205566406,4093.205078125,4074.6154785156,4127.5639648438,4141.41015625,4138.7177734375,4190.0,4176.794921875,4173.3334960938,4151.5385742188
93,4103.8461914063,4079.8718261719,4093.3332519531,4072.6923828125,4091.5385742188,4092.0512695313,4067.0512695313,4121.9228515625,4131.2822265625,4131.41015625,4191.41015625,4173.8461914063,4168.9741210938,4145.7690429688
94,4100.384765625,4073.3332519531,4085.1281738281,4065.1281738281,4089.6154785156,4096.5385742188,4065.1281738281,4118.8461914063,4124.2309570313,4122.5639648438,4190.1284179688,4170.7690429688,4159.8715820313,4137.4360351563
95,4103.205078125,4076.0256347656,4085.6411132813,4070.5129394531,4093.58984375,4105.0,4075.2563476563,4120.7690429688,4127.6923828125,4124.8715820313,4183.3334960938,4174.2309570313,4155.7690429688,4138.205078125
96,4103.205078125,4077.5642089844,4084.3588867188,4075.6411132813,4096.1538085938,4106.794921875,4081.0256347656,4120.1284179688,4132.3076171875,4126.41015625,4177.1796875,4168.4614257813,4157.5639648438,4137.4360351563
97,4102.4360351563,4077.9487304688,4083.3332519531,4075.2563476563,4093.8461914063,4106.2822265625,4083.4614257813,4129.1025390625,4137.3076171875,4128.4614257813,4182.9487304688,4155.6411132813,4162.0512695313,4137.0512695313
98,4102.4360351563,4077.4357910156,4086.5385742188,4075.7692871094,4091.1538085938,4106.0258789063,4088.3332519531,4139.1025390625,4144.8715820313,4131.41015625,4184.7436523438,4155.2563476563,4166.0258789063,4139.2309570313
99,4104.2309570313,4075.7692871094,4082.5642089844,4070.6411132813,4091.2819824219,4097.0512695313,4083.205078125,4128.3334960938,4136.794921875,4125.8974609375,4169.4873046875,4159.1025390625,4159.615234375,4133.0771484375
100,4103.8461914063,4083.0769042969,4075.7692871094,4060.5129394531,4088.58984375,4089.8718261719,4078.205078125,4117.4360351563,4125.1284179688,4120.5126953125,4157.0512695313,4149.4873046875,4146.2822265625,4123.58984375
101,4098.3334960938,4083.8461914063,4075.7692871094,4057.0512695313,4088.8461914063,4094.6154785156,4081.41015625,4121.794921875,4124.4873046875,4114.1025390625,4154.7436523438,4138.0771484375,4144.1025390625,4120.6411132813
102,4097.9487304688,4078.0769042969,4079.3588867188,4061.0256347656,4093.4614257813,4094.8718261719,4078.9743652344,4125.384765625,4124.1025390625,4109.8715820313,4155.1284179688,4146.9228515625,4150.6411132813,4124.2309570313
103,4097.9487304688,4078.0769042969,4079.3588867188,4061.0256347656,4093.4614257813,4094.8718261719,4078.9743652344,4125.384765625,4124.1025390625,4109.8715820313,4155.1284179688,4146.9228515625,4150.6411132813,4124.2309570313
104,4100.7690429688,4087.1794433594,4081.2819824219,4063.0769042969,4082.8205566406,4087.9487304688,4074.2307128906,4123.4614257813,4128.0771484375,4115.5126953125,4153.4614257813,4158.7177734375,4153.3334960938,4127.9487304688
105,4099.615234375,4088.7180175781,4082.3076171875,4058.58984375,4073.8461914063,4088.9743652344,4077.0512695313,4125.8974609375,4138.7177734375,4119.7436523438,4154.3588867188,4149.4873046875,4153.7177734375,4128.0771484375
106,4097.0512695313,4082.1794433594,4077.3076171875,4060.3845214844,4089.2307128906,4094.3588867188,4078.8461914063,4124.4873046875,4139.3588867188,4114.8715820313,4160.8974609375,4139.4873046875,4149.3588867188,4128.4614257813
107,4096.9228515625,4089.1025390625,4074.2307128906,4067.4357910156,4101.2822265625,4093.9743652344,4072.4357910156,4115.6411132813,4131.0258789063,4110.6411132813,4163.58984375,4141.9228515625,4143.4614257813,4126.794921875
108,4096.41015625,4087.3076171875,4083.3332519531,4065.1281738281,4091.5385742188,4091.9230957031,4065.6411132813,4112.3076171875,4128.7177734375,4116.0258789063,4162.4360351563,4140.384765625,4147.9487304688,4120.6411132813
109,4097.1796875,4075.7692871094,4091.9230957031,4063.0769042969,4087.0512695313,4091.5385742188,4064.3588867188,4118.9741210938,4124.7436523438,4121.1538085938,4169.2309570313,4145.0,4152.6923828125,4126.0258789063
110,4104.3588867188,4082.0512695313,4087.5642089844,4067.1794433594,4095.1281738281,4091.6667480469,4066.5385742188,4120.7690429688,4116.1538085938,4114.7436523438,4171.2822265625,4155.8974609375,4145.1284179688,4138.8461914063
111,4100.1284179688,4084.6154785156,4075.6411132813,4063.7180175781,4096.0258789063,4091.794921875,4066.41015625,4109.8715820313,4113.8461914063,4105.1284179688,4153.3334960938,4146.794921875,4137.6923828125,4129.1025390625
112,4083.9743652344,4073.8461914063,4069.1025390625,4057.9487304688,4090.1281738281,4090.8974609375,4063.4614257813,4105.0,4112.4360351563,4106.1538085938,4138.3334960938,4130.0,4134.8715820313,4107.6923828125
113,4079.7436523438,4076.0256347656,4071.5385742188,4060.3845214844,4088.9743652344,4091.2819824219,4067.6923828125,4106.0258789063,4111.1538085938,4107.5639648438,4134.1025390625,4121.2822265625,4125.8974609375,4103.3334960938
114,4081.0256347656,4077.6923828125,4070.1281738281,4058.7180175781,4085.3845214844,4091.794921875,4076.6667480469,4103.0771484375,4115.2563476563,4102.6923828125,4127.1796875,4102.3076171875,4118.0771484375,4106.1538085938
115,4079.8718261719,4076.1538085938,4070.3845214844,4058.8461914063,4076.0256347656,4091.9230957031,4081.6667480469,4108.0771484375,4123.8461914063,4106.794921875,4132.1796875,4095.3845214844,4127.0512695313,4107.3076171875
116,4080.1281738281,4082.9487304688,4073.3332519531,4064.2307128906,4078.58984375,4092.1794433594,4080.5129394531,4111.794921875,4125.6411132813,4111.1538085938,4143.0771484375,4112.5639648438,4136.0258789063,4109.3588867188
117,4088.205078125,4084.1025390625,4072.6923828125,4060.7692871094,4089.2307128906,4089.8718261719,4077.8205566406,4107.5639648438,4120.7690429688,4108.8461914063,4141.6665039063,4117.6923828125,4130.7690429688,4107.3076171875
118,4093.3332519531,4080.0,4073.9743652344,4057.8205566406,4089.1025390625,4085.0,4075.5129394531,4103.0771484375,4115.0,4102.8203125,4137.0512695313,4108.4614257813,4123.9741210938,4105.5126953125
119,4087.8205566406,4081.41015625,4074.2307128906,4063.58984375,4088.3332519531,4082.5642089844,4075.0,4098.7177734375,4108.7177734375,4095.5129394531,4135.1284179688,4108.4614257813,4124.2309570313,4108.9741210938
120,4084.4870605469,4080.8974609375,4070.8974609375,4063.8461914063,4091.0256347656,4086.0256347656,4077.6923828125,4097.6923828125,4105.8974609375,4095.6411132813,4128.0771484375,4109.3588867188,4124.2309570313,4106.1538085938
121,4086.5385742188,4076.2819824219,4071.41015625,4058.0769042969,4084.2307128906,4090.3845214844,4081.0256347656,4104.3588867188,4112.9487304688,4102.5639648438,4123.205078125,4105.7690429688,4123.4614257813,4102.3076171875
122,4091.41015625,4077.4357910156,4071.9230957031,4059.3588867188,4082.3076171875,4092.3076171875,4087.5642089844,4113.3334960938,4124.1025390625,4108.3334960938,4127.3076171875,4110.384765625,4127.4360351563,4112.5639648438
